origin,dest,distance
-122.302522247.6202155,-122.302513647.6206027,0.999997098
-122.302496347.6213772,-122.302480147.6221589,0.999972464
-122.30738747.6196794,-122.306739347.6196775,0.731058579
-122.310070347.6196811,-122.309474447.6196809,0.817574476
-122.308770947.6196784,-122.30738747.6196794,0.777299861
-122.289822747.6201587,-122.289083447.620154,0.047425873
-122.289083447.620154,-122.28796347.620145,0.047425873
-122.30102847.6202099,-122.30102732495247.6202098960439,0.962673113
-122.292315847.6201576,-122.291237547.6201511,0.000013
-122.293484447.6201648,-122.293384647.6201642,0.437823499
-122.2960969113247.6201800764143,-122.29544447.6201764,0.006692851
-122.294794147.6201719,-122.294153547.6201684,0.880797078
-122.299892147.6202031,-122.298574747.6202021,0.92414182
-122.298574747.6202021,-122.297958447.6201919,0.970687769
-122.296101147.6201801,-122.2960969113247.6201800764143,0.268941421
-122.297256347.6201872,-122.296101147.6201801,0.777299861
-122.30102732495247.6202098960439,-122.300840347.6202088,0.989013057
-122.29668147.6225018,-122.296563147.6225052,0.985936373
-122.302469647.6226624,-122.30118647.6226524,0.996827317
-122.294877947.6141085,-122.294865447.6152854,5.60E-09
-122.294853247.6164452,-122.294840847.6176205,5.60E-09
-122.294865447.6152854,-122.294853247.6164452,1.03E-10
-122.294897447.613196,-122.294877947.6141085,0.00000373
-122.294840847.6176205,-122.294827347.6188939,9.74E-10
-122.294936347.6100271,-122.294934847.6116797,0.0000961
-122.294934847.6116797,-122.294926847.6127005,0.000013
-122.288779547.6185692,-122.288876947.6186532,0.000123
-122.288738247.6193102,-122.289001147.6194648,0.002472623
-122.30757447.6103633,-122.307562447.610405,0.01798621
-122.307542347.6115333,-122.307534747.6129089,0.962673113
-122.30126409535247.6200471992859,-122.301265747.620049,0.93991335
-122.30119447.6189284,-122.301194847.6190127,0.679178699
-122.29645147.6236649,-122.296487647.6236914,0.952574127
-122.296194847.6234769,-122.296284347.6235444,0.994779874
-122.297538547.6100345,-122.297512247.6115657,0.000911
-122.297507947.6129419,-122.297507647.6133973,0.0000167
-122.297484947.6152975,-122.297462647.6164579,0.07585818
-122.297462647.6164579,-122.297467647.6174308,0.222700139
-122.297493847.6141336,-122.297484947.6152975,0.06008665
-122.297512247.6115657,-122.29750947.6124613,2.65E-09
-122.297345747.6176303,-122.297283947.6177278,0.851952802
-122.298739847.624376,-122.298722747.6251706,0.008577485
-122.298360147.6220141,-122.298449147.6220732,0.037326887
-122.298574747.6202021,-122.298590947.6213577,0.679178699
-122.29856647.6189136,-122.298574747.6202021,5.32E-08
-122.289416447.6242106,-122.289252447.6243191,0.047425873
-122.293791247.610435,-122.29376747.6116676,0.000553
-122.290426847.6104259,-122.290393447.6116309,0.047425873
-122.30889347.6103676,-122.308870547.6104183,0.119202922
-122.308865347.6115414,-122.308863947.6122156,0.119202922
-122.308687147.6244253,-122.308672747.6252412,0.02297737
-122.308814447.6190046,-122.3088147.6195861,0.182425524
-122.308756747.6204843,-122.308728647.622076,0.008577485
-122.308728647.622076,-122.30868547.6232488,0.0000275
-122.308770947.6196784,-122.308768847.6197574,0.731058579
-122.308811347.6185112,-122.308814447.6190046,0.98201379
-122.30868547.6232488,-122.308687147.6244253,0.000123
-122.292345847.6188787,-122.29234551782347.6188907296384,0.0000275
-122.292315847.6201576,-122.292312147.6213264,0.437823499
-122.29234551782347.6188907296384,-122.292343947.6189597,1.96E-08
-122.306074947.6202164,-122.304765347.6202166,0.999903898
-122.308851947.6141176,-122.308176247.6141156,0.047425873
-122.310158747.614112,-122.309495947.6141196,0.119202922
-122.296201947.6129477,-122.295953847.6129477,0.014063627
-122.30362347.6202194,-122.303132947.6202177,0.999972464
-122.304765347.6202166,-122.30402947.6202188,0.999998629
-122.308728647.622076,-122.308048747.6220699,0.006692851
-122.310035747.6220834,-122.309372747.6220779,0.014063627
-122.294994447.6236375,-122.295191647.6237796,0.004070138
