origin,dest,distance
-122.308408547.6703883,-122.308328847.6704108,1
-122.307802547.6697176,-122.307703247.6696222,0
-122.370676554308147.57142811812381,-122.370677247.5714661,3
-122.370672147.5711661,-122.3706748775635747.57132948609297,3
-122.3706748775635747.57132948609297,-122.370676554308147.57142811812381,3
-122.281092247.5742201,-122.281077547.5738486,0
-122.4148947.6685473,-122.414889147.668904,1
-122.398318747.6625664,-122.398330747.6625997,0
-122.307974147.5606388,-122.308076947.5605368,18
-122.313431147.5605493,-122.314147547.5605551,3
-122.3876147.6933477,-122.388657947.693346,0
-122.283117847.624862,-122.28281847.6250428,0
-122.312566647.6268825,-122.3125662129229247.62688249970353,0
-122.314583947.626903,-122.313151747.6268884,3
-122.315516247.6265227,-122.315398447.6265503,0
-122.316798347.626517,-122.316273147.6265196,2
-122.315891447.6265215,-122.315516247.6265227,0
-122.31126247.6268784,-122.310618747.6268748,0
-122.3125662129229247.62688249970353,-122.311913847.626882,0
-122.345009847.6185676,-122.345009847.6186989,5
-122.347858347.6422764,-122.347599747.6422756,0
-122.281621247.510414,-122.281597747.5113462,0
-122.390141447.6960588,-122.38970747.6960625,0
-122.388772747.6960545,-122.388579347.6960499,0
-122.38970747.6960625,-122.388772747.6960545,0
-122.275770347.5679014,-122.275718747.568057,0
-122.32754447.6432083,-122.327114147.6432074,1
-122.303656447.5471817,-122.303629447.5471633,0
-122.286599647.5278812,-122.286609447.5286175,0
-122.263667347.6821329,-122.263533947.6821328,1
-122.260402647.6821337,-122.260402347.6819961,0
-122.3192523236143947.55344939399081,-122.319342547.5534258,0
-122.31875347.5534738,-122.319085847.5534725,0
-122.280013147.694858,-122.2800060787874147.69485800842377,0
-122.2800060787874147.69485800842377,-122.278512847.6948598,0
-122.307063547.6455642,-122.307062947.6455002,0
-122.317384747.5617061,-122.316872447.5617028,0
-122.318675647.5616932,-122.318033147.5616996,0
-122.320299447.5617069,-122.320262947.5616865,1
-122.397438347.5710649,-122.397447847.5703174,0
-122.397447847.5703174,-122.3974477971668547.57031375596894,0
-122.396569847.5721271,-122.39664547.5720989,0
