origin,dest,distance
-122.328350747.5526847,-122.328347747.5522965,0
-122.328352247.5541358,-122.328351447.5540055,0
-122.328347347.5533909,-122.328348647.5532465,0
-122.328163447.5366521,-122.328137247.5366289,0
-122.328130347.5355549,-122.328126947.5348397,0
-122.330883747.5319459,-122.330726547.5318903,0
-122.328381447.5456469,-122.328379147.5451829,2
-122.328382647.5480551,-122.328382547.5478898,2
-122.363225947.6267452,-122.363221247.6271032,0
-122.3632207191647747.62714147448414,-122.363219747.6272226,0
-122.363215147.6275749,-122.363214147.6276511,0
-122.363644247.6359368,-122.36362647.6377636,0
-122.36362647.6377636,-122.36361847.6395848,0
-122.36361847.6395848,-122.3636179453040147.6395938713014,0
-122.363703547.632329,-122.363683547.6335116,0
-122.363662847.634737,-122.363644247.6359368,0
-122.363683547.6335116,-122.363662847.634737,0
-122.3636179453040147.6395938713014,-122.363608747.6411272,0
-122.306081647.6196755,-122.305384347.6196701,0
-122.402986347.6782408,-122.402972847.6787643,0
-122.348573647.6527299,-122.348291747.6524676,0
-122.384273447.6962312,-122.385575747.6962351,1
-122.382613147.6965075,-122.382764647.6964339,1
-122.281180547.6669601,-122.281019347.6671237,0
-122.282644947.6656214,-122.282606447.6658136,0
-122.304735947.5975155,-122.304706447.5975489,0
-122.304885747.5959497,-122.304857847.5959768,0
-122.304892347.5951754,-122.304884147.5951636,0
-122.3052700177812547.587766582753716,-122.305319547.5877192,0
-122.305119447.5895728,-122.305164347.5884053,0
-122.305164347.5884053,-122.305171847.5881795,0
-122.305967947.5483153,-122.305959847.5481261,0
-122.306239347.5533849,-122.306299847.5511407,0
-122.306249747.5541542,-122.306239347.5533849,2
-122.305057147.6016757,-122.305057204359847.601668886910616,0
-122.305057204359847.601668886910616,-122.305070147.600827,0
-122.3591947.5155299,-122.3592188763945147.51552985795774,0
-122.3585101823549947.515531527128104,-122.358521947.5155315,0
-122.33699502461847.670731547065536,-122.3370587396276447.670889123493176,0
-122.336372547.6473734,-122.336357147.6479695,0
-122.335689947.7019397,-122.335694847.7021921,1
-122.335714647.7032173,-122.335706947.7046985,2
-122.335679847.7014157,-122.335689947.7019397,0
-122.336754247.6856071,-122.336753647.6856891,1
-122.4077747.5675237,-122.408463547.5675144,1
-122.408463547.5675144,-122.409532347.5675208,5
-122.38338247.6556211,-122.383379847.6558104,0
-122.383358847.65762,-122.383359247.6576484,0
-122.270862347.5315798,-122.2708622443487547.531577625212186,0
-122.270830647.530341,-122.270810347.5291274,10
-122.2708622443487547.531577625212186,-122.270830647.530341,3
-122.270752447.5653066,-122.270753447.5645588,3
-122.270764347.5676692,-122.270758347.5664748,1
-122.270758347.5664748,-122.270752447.5653066,3
-122.27129947.52667,-122.271331347.5265859,0
-122.271432747.5279093,-122.271411947.5268194,1
-122.271353547.5233176,-122.271366447.5228051,2
-122.31531747.7067808,-122.315198247.7067427,1
-122.312440147.7066996,-122.3124305476139147.70669953792175,0
-122.31387947.7067194,-122.312440147.7066996,0
-122.3124305476139147.70669953792175,-122.309947347.7066834,3
-122.281794947.706474,-122.280605447.7067292,0
-122.280605447.7067292,-122.279248347.7069896,0
-122.282709747.7064807,-122.282569347.7064797,0
-122.278071447.7072836,-122.276818247.707545,0
-122.276818247.707545,-122.276091647.7077058,0
-122.279248347.7069896,-122.278667747.7071346,0
-122.301655647.7067063,-122.301628919026747.706706176286055,1
-122.301628919026747.706706176286055,-122.301590947.706706,1
-122.297914847.706692,-122.296449647.7066843,0
-122.326221347.6589456,-122.326226747.6587057,0
-122.326206947.661354,-122.326205347.6611552,0
-122.357681547.6468853,-122.358141647.6468879,1
-122.358141647.6468879,-122.360201147.6468935,1
-122.2736062257042147.65709565481621,-122.27358847.657096,0
-122.277410247.6563533,-122.277248147.6565426,1
-122.274274447.657083,-122.2736062257042147.65709565481621,0
-122.274898947.6570682,-122.274274447.657083,1
-122.275630947.6570056,-122.274898947.6570682,1
-122.276710947.6568026,-122.275707347.6569912,2
-122.349324947.5264961,-122.349304147.5264732,0
-122.349322447.5301375,-122.349336947.5283309,0
-122.34928506759447.53403086345791,-122.349280447.5336779,0
-122.349331547.5319201,-122.349322447.5301375,2
-122.34929947.5332907,-122.349331547.5319201,0
-122.349243947.5355013,-122.349265347.5348219,0
-122.349265347.5348219,-122.349285447.534056,0
-122.334344547.6174793,-122.334305347.6176074,3
-122.331072547.6922704,-122.3306347.6922698,1
-122.347226947.6927474,-122.345104547.692741,3
-122.349935647.6927498,-122.347226947.6927474,1
-122.333765447.69246,-122.331074847.6924604,7
-122.338065847.562933,-122.338063447.5627426,0
-122.290326247.6140663,-122.289308747.6140642,0
-122.293712447.6141018,-122.292501347.6140821,1
-122.292501347.6140821,-122.291383247.6140747,1
-122.296184847.6141268,-122.294877947.6141085,0
-122.294877947.6141085,-122.294250947.6141049,0
-122.2961865497502647.61412680896611,-122.296184847.6141268,0
-122.291383247.6140747,-122.290326247.6140663,0
-122.285993847.614021,-122.285904447.6140091,2
-122.289308747.6140642,-122.288744147.6140672,1
-122.287083347.6140606,-122.286544747.6140489,0
-122.288197547.6140702,-122.28764747.6140655,0
-122.302683247.614165,-122.3026749031256647.61416492868391,0
-122.3026749031256647.61416492868391,-122.301415147.6141541,0
-122.298790547.6141404,-122.298165847.6141371,0
-122.297493847.6141336,-122.296828847.6141301,0
-122.300093447.6141472,-122.299428447.6141437,0
-122.301415147.6141541,-122.300725947.6141505,1
-122.323400447.6140923,-122.323332247.6140845,3
-122.322128347.6140814,-122.32145747.614085,2
-122.28486747.6134941,-122.284167447.6131915,3
-122.396914147.6971209,-122.397087247.6971454,0
-122.395825947.6970937,-122.396799747.6971009,0
-122.385321647.6975233,-122.386305647.697525,0
-122.3830747.6974686,-122.383588247.6974791,0
-122.393011647.6975009,-122.395125247.6975287,2
-122.306350747.6051741,-122.30634647.6061736,1
-122.306336647.6071716,-122.306325747.608027,2
-122.30634647.6061736,-122.306336647.6071716,1
-122.306359947.6026802,-122.306355647.603515,1
-122.306355647.603515,-122.306356847.6043263,1
-122.306358647.6016858,-122.306359547.6023413,0
-122.306356847.6043263,-122.306350747.6051741,1
-122.306325747.608027,-122.306304847.609043,1
-122.283460147.6067524,-122.283531447.6068202,3
-122.258210647.544931,-122.258230447.5445816,0
-122.406187947.6399323,-122.406461447.6399294,6
-122.408073347.640875,-122.409003747.6414533,2
-122.342370847.6905447,-122.342389947.6923666,4
-122.342389947.6923666,-122.342420247.6941748,4
-122.343309647.6985586,-122.343313847.6988891,0
-122.34333147.7032337,-122.343340147.7046678,7
-122.343778747.6617697,-122.343774747.6621293,0
-122.343789347.6613883,-122.343780747.6616992,0
-122.3437894752543147.66137928638037,-122.343789347.6613883,0
-122.343474347.654103,-122.343539547.6541515,1
-122.343555547.6566397,-122.343542747.6580175,0
-122.343792247.6591793,-122.343805347.659585,0
-122.343803247.6606734,-122.3437894752543147.66137928638037,0
-122.343817447.6599603,-122.343811247.6602733,0
-122.343542747.6580175,-122.343634847.6584462,0
-122.343558247.6553875,-122.343555547.6566397,0
-122.360926547.5391555,-122.3609584779894147.539155349676115,0
-122.3609584779894147.539155349676115,-122.361628547.5391522,0
-122.362904947.5391617,-122.36410947.5391659,2
-122.361628547.5391522,-122.362735947.5391604,0
-122.351548547.5390917,-122.35268947.5390993,0
-122.355003747.5391098,-122.35614847.5391211,0
-122.35268947.5390993,-122.353807247.5391106,0
-122.353807247.5391106,-122.355003747.5391098,0
-122.350418847.5390826,-122.351548547.5390917,0
-122.35641347.6723469,-122.355356647.6723479,1
-122.357464447.672346,-122.35641347.6723469,1
-122.354396147.6724787,-122.354230947.6724698,0
-122.348505447.6724454,-122.34732647.6724415,0
-122.349293647.672448,-122.348505447.6724454,0
-122.35288647.6724623,-122.351408447.672455,0
-122.349951547.6724502,-122.349293647.672448,0
-122.351408447.672455,-122.349951547.6724502,0
-122.355354247.6725083,-122.354571547.6725021,0
-122.332428347.6723078,-122.3321568661605947.672306133112315,0
-122.333568547.6723131,-122.332428347.6723078,0
-122.3321568661605947.672306133112315,-122.330913947.6722985,0
-122.330913947.6722985,-122.328221147.6722819,1
-122.363833547.6246542,-122.363781447.6246318,4
-122.29980847.6243862,-122.299792347.6251842,0
-122.299892947.6213661,-122.299809747.6243253,2
-122.299900247.6209857,-122.299898247.6210874,1
-122.2998999836238747.62096446628953,-122.299900247.6209857,1
-122.299871447.618921,-122.299892147.6202031,0
-122.299892147.6202031,-122.299898747.6208385,1
-122.300341147.6302634,-122.300317247.6312761,0
-122.300317247.6312761,-122.300311547.6322783,0
-122.300393747.6274308,-122.300381147.6277998,2
-122.300342747.6292744,-122.300341147.6302634,0
-122.300368147.6281805,-122.300342747.6292744,2
-122.300358347.6395231,-122.300357747.639608,0
-122.300350247.6409833,-122.300350147.6410417,0
-122.300332847.6424442,-122.300332147.6425007,0
-122.300349447.641714,-122.300348247.641767,0
-122.300352947.6402478,-122.300352747.6403134,0
-122.343958247.5342768,-122.343469947.5343455,0
-122.344803547.534131,-122.343958247.5342768,0
-122.386141647.5919371,-122.386193947.5919309,0
-122.385438547.5924244,-122.386047247.5919633,0
-122.263296947.6676684,-122.262837347.6677844,0
-122.265971747.6673824,-122.265478647.6676771,0
-122.290796331155547.70303450311333,-122.290789547.7030345,2
-122.296107347.7030673,-122.294147247.7030541,1
-122.298865947.7030816,-122.296923147.7030715,0
-122.296451747.7030691,-122.296107347.7030673,0
-122.294147247.7030541,-122.293226747.7030402,6
-122.306994747.7030296,-122.304292547.7030088,10
-122.308009647.7030421,-122.306994747.7030296,2
-122.304292547.7030088,-122.302574647.7029955,2
-122.278764347.7029578,-122.277674847.7029473,0
-122.275230847.7029222,-122.274654247.7029269,0
-122.276461447.7029416,-122.275230847.7029222,0
-122.277674847.7029473,-122.276461447.7029416,0
-122.323161747.7031447,-122.322680247.7031415,1
-122.289429647.7029563,-122.288079447.7029376,2
-122.290539447.7029323,-122.290048947.7029576,1
-122.286827947.7029418,-122.286725947.7029398,0
-122.328539347.7031773,-122.327438147.7031646,2
-122.285852347.5169858,-122.284887247.5169848,0
-122.284887247.5169848,-122.283786947.5169815,0
-122.30165747.6455855,-122.301611147.6456224,0
-122.329010647.6008837,-122.329153547.6010061,0
-122.347113347.637402,-122.346605247.6374041,1
-122.348314547.6374048,-122.347113347.637402,1
-122.35693147.637172,-122.356830447.6371718,0
-122.351947947.6374136,-122.350739847.6374141,1
-122.350739847.6374141,-122.349535747.6374145,0
-122.355643147.6374123,-122.354368347.6374128,0
-122.353169947.6374132,-122.351947947.6374136,1
-122.354368347.6374128,-122.353169947.6374132,0
-122.300772447.5519251,-122.300761847.5518771,0
-122.300428347.5546035,-122.300455647.5536951,0
-122.300320947.5500275,-122.299874547.5486518,5
-122.300966947.5523335,-122.301008347.5523674,0
-122.299995147.5967691,-122.300005647.5956469,1
-122.299928447.5992588,-122.299947447.5987725,0
-122.299974447.5980921,-122.299995147.5967691,0
-122.300102647.5945726,-122.300103147.5945236,0
-122.300089947.595561,-122.300103847.5954933,0
-122.300050747.6016638,-122.300053247.6015807,0
-122.300077547.600868,-122.300053447.6004231,0
-122.300391847.5561324,-122.300400347.5557353,1
-122.300365747.558562,-122.300363947.5573541,0
-122.300363947.5573541,-122.300391847.5561324,0
-122.300301247.5783468,-122.300290247.5758378,4
-122.383646847.5938697,-122.383622447.5938201,1
-122.383288147.5931152,-122.383111447.592733,1
-122.386955347.5951134,-122.386629947.5951545,0
-122.388969647.6411728,-122.388951847.6423201,1
-122.388940947.6434773,-122.388913947.6446193,1
-122.388951847.6423201,-122.388940947.6434773,1
-122.388993247.6400141,-122.388969647.6411728,0
-122.389000147.6395331,-122.388993247.6400141,0
-122.388737447.6558783,-122.388729247.6550591,1
-122.3886807338689547.65762559613076,-122.388678547.6576508,0
-122.388675547.6565041,-122.388696947.6574432,1
-122.27587996179947.675780117490234,-122.275864647.6761037,0
-122.275582347.6776089,-122.275627447.6785677,0
-122.275880247.6757751,-122.27587996179947.675780117490234,0
-122.275308147.6993128,-122.27524547.7011261,1
-122.275386647.697435,-122.275338947.6974943,0
-122.27524547.7011261,-122.275230847.7029222,1
-122.274656447.6612844,-122.274689247.6625207,0
-122.2746963592914147.66278972166166,-122.274700347.6629378,0
-122.274704347.6630883,-122.27473647.6648841,1
-122.275420747.6812375,-122.275504947.68227,2
-122.275359947.6801072,-122.275361247.680386,0
-122.275335447.6793792,-122.275359947.6801072,0
-122.274274447.657083,-122.274460147.657415,1
-122.274576547.6553492,-122.274584147.6555191,2
-122.376328147.5755566,-122.377063547.5755654,0
-122.377063547.5755654,-122.377603647.5755686,1
-122.373907847.5755842,-122.374031247.5755683,0
-122.390782147.5756631,-122.391459947.5756743,3
-122.395469247.5757162,-122.396051747.5757104,0
-122.396712347.5757083,-122.397285847.5757177,0
-122.393391747.5757024,-122.394065947.5757064,0
-122.394499847.575709,-122.395469247.5757162,0
-122.392064747.5756863,-122.392732147.5756944,0
-122.328658747.5415248,-122.328603447.5415252,0
-122.269898547.541599,-122.267176447.5415918,2
-122.267176447.5415918,-122.265756647.5415746,1
-122.291036547.5413282,-122.292768647.5413252,0
-122.294782247.5413374,-122.29529747.5413427,0
-122.295436247.5413439,-122.295784147.5413475,0
-122.293325947.5413231,-122.293858647.5413271,0
-122.297581947.5416953,-122.296907747.5417029,1
-122.299037847.5421227,-122.298455247.5422067,1
-122.299345747.5420756,-122.299138647.5421073,0
-122.27538647.5415662,-122.275036247.5416192,0
-122.280846247.5415597,-122.278106347.5415702,0
-122.291311647.6016498,-122.291311947.6016844,1
-122.291476247.6116489,-122.291436547.6129189,0
-122.291490947.6104262,-122.291476247.6116489,0
-122.2915415126834147.60795532675889,-122.291541447.6079617,0
-122.291532947.6084416,-122.291518147.6092835,0
-122.291518147.6092835,-122.291490947.6104262,0
-122.291541447.6079617,-122.291532947.6084416,0
-122.291561847.6068131,-122.291548247.6075771,1
-122.291573447.6061549,-122.291561847.6068131,0
-122.291602447.604518,-122.291590947.605166,0
-122.291590947.605166,-122.291573447.6061549,0
-122.291608347.6041835,-122.291602447.604518,1
-122.291625947.6031917,-122.291611247.6040196,1
-122.373687347.5676597,-122.373774547.5673099,5
-122.381674847.550971,-122.381717747.5508551,0
-122.373484247.5698804,-122.3734774460446547.56986894669061,0
-122.373651847.5678055,-122.373666547.5677549,1
-122.3734774460446547.56986894669061,-122.373453347.569828,1
-122.307253847.6323646,-122.307440547.6324351,0
-122.279796447.5292055,-122.27979647.5289434,0
-122.339841747.6102801,-122.339782147.6102152,5
-122.322482247.698907,-122.321495947.6988973,0
-122.390128347.6716511,-122.387602447.6716511,0
-122.387602447.6716511,-122.387105447.6716501,0
-122.38473447.6716432,-122.383793347.6716406,5
-122.382149447.6716361,-122.378897147.6716295,1
-122.376200447.671638,-122.376065147.6716376,0
-122.373503647.6716294,-122.373418347.67163,0
-122.368597247.6716216,-122.368493447.6716215,1
-122.370745547.6716294,-122.370650747.6716291,0
-122.373669347.6716295,-122.373503647.6716294,0
-122.3762143220614447.671637954153475,-122.376200447.671638,0
-122.398349347.6712967,-122.399812447.6712983,0
-122.401111247.6713042,-122.403273747.6713096,4
-122.304312147.7039104,-122.302601347.7038997,1
-122.309687947.7039775,-122.308209347.7039611,7
-122.307012647.7039478,-122.304312147.7039104,7
-122.322073747.7040178,-122.321837647.7040189,0
-122.28546647.7037878,-122.284365347.7037716,0
-122.283776547.7037704,-122.28275647.7037557,0
-122.2908409377403747.703907767095004,-122.290825447.7039078,1
-122.294130847.7039008,-122.2908409377403747.703907767095004,1
-122.315643147.6733458,-122.315110247.6733448,1
-122.318698747.6733514,-122.318019847.6733501,0
-122.319520547.6733529,-122.319378547.6733526,0
-122.317351247.6733489,-122.316887947.673348,1
-122.297463947.673963,-122.296405247.6739638,0
-122.290260647.6739652,-122.2902508305634147.67396520991318,0
-122.293226147.6739658,-122.292731347.6739659,0
-122.292182647.6739661,-122.291677147.6739654,0
-122.294309147.6739641,-122.293226147.6739658,0
-122.296405247.6739638,-122.295354147.6739642,0
-122.295354147.6739642,-122.294309147.6739641,0
-122.291137147.6739655,-122.290260647.6739652,0
-122.298523947.673963,-122.297463947.673963,0
-122.299574247.6739625,-122.298523947.673963,0
-122.282203347.6739688,-122.280875747.6739711,1
-122.280875747.6739711,-122.2795135337738147.6739698119464,0
-122.283536247.6739683,-122.282203347.6739688,1
-122.284909847.673968,-122.283536247.6739683,1
-122.2902508305634147.67396520991318,-122.289669347.6739658,0
-122.289136147.6739663,-122.288589147.6739666,0
-122.286952347.6739666,-122.286381147.6739691,0
-122.28804547.6739695,-122.287471447.6739669,0
-122.285811547.6739715,-122.284909847.673968,1
-122.2795135337738147.6739698119464,-122.279500947.6739698,0
-122.279500947.6739698,-122.278860347.6739588,0
-122.328204247.6736235,-122.325480647.6735971,0
-122.303799647.6737578,-122.303373647.6737528,2
-122.268084647.6740338,-122.268295447.6740334,0
-122.301710347.6737969,-122.301419547.6737948,0
-122.305475247.6733791,-122.304950847.6733764,0
-122.304406947.6733734,-122.303799947.6733704,0
-122.270389347.6734184,-122.269771247.6734213,0
-122.289675347.6817046,-122.287784747.6816887,2
-122.343459547.6923376,-122.343471847.6915429,2
-122.3435707034185447.69055783528369,-122.343577647.6905484,0
-122.376195347.5610602,-122.3762161542521647.5610602,0
-122.3762161542521647.5610602,-122.376386547.5610602,0
-122.354773947.5612008,-122.354255847.5611896,0
-122.353938647.5611819,-122.353866147.5611729,0
-122.29361647.5743521,-122.29283447.5733395,0
-122.294190747.5751458,-122.294173347.5750789,0
-122.376617647.5290111,-122.3766653875304447.52901239720967,0
-122.302350347.6274374,-122.302308647.6275083,0
-122.298777847.693112,-122.295998547.69311,0
-122.323033847.6931332,-122.320324547.6931114,9
-122.327052147.6931508,-122.325742247.6931491,5
-122.325742247.6931491,-122.323033847.6931332,16
-122.282541147.6929583,-122.282344347.692961,0
-122.273901247.69242,-122.27391308767647.69242706019335,0
-122.27391308767647.69242706019335,-122.274019447.6924902,7
-122.277133247.693355,-122.277515247.6934072,6
-122.280978247.6779981,-122.280903947.678114,0
-122.281784347.6967392,-122.281774447.697134,0
-122.35470347.7003753,-122.354606247.7003661,0
-122.355382147.7001234,-122.354941547.7003323,0
-122.320858347.6456188,-122.320748447.6456187,0
-122.321964547.6456237,-122.321473347.6456195,0
-122.318318347.645616,-122.318251847.6456159,0
-122.319611947.6456174,-122.319551247.6456173,0
-122.317082147.6456146,-122.316960747.645615,0
-122.327068247.6456262,-122.326485847.6456198,0
-122.307063547.6455642,-122.307126947.6455635,0
-122.304756247.6455566,-122.304907247.645555,0
-122.330401747.6826767,-122.330408247.6830926,0
-122.330413647.6850759,-122.330490847.6868612,0
-122.331481147.6505944,-122.331483347.6519562,0
-122.331054747.6907841,-122.331056447.6908579,1
-122.331066747.6917948,-122.331072547.6922704,0
-122.331074847.6924604,-122.331081247.6926991,4
-122.331095947.6937669,-122.331099147.6940682,0
-122.331092447.6931134,-122.331093247.6932567,3
-122.331072547.6922704,-122.331074847.6924604,1
-122.331060647.6911364,-122.331066747.6917948,1
-122.330926147.671583,-122.3309139921065347.67229309817808,1
-122.330903847.6728918,-122.330897247.6732794,1
-122.330877747.6744225,-122.330870547.6748109,0
-122.330863447.6751988,-122.330856247.6755752,0
-122.330890647.6736641,-122.330884147.6740476,1
-122.330913947.6722985,-122.330903847.6728918,0
-122.3309139921065347.67229309817808,-122.330913947.6722985,0
-122.323744547.5975164,-122.323746447.5974348,6
-122.323738947.5983616,-122.32374447.597597,1
-122.323733647.5991463,-122.323738947.5983616,5
-122.323727847.6000225,-122.323726847.599875,2
-122.32373347.5992507,-122.323733247.5992186,2
-122.324566247.551206,-122.325187747.5505883,0
-122.323930647.5518606,-122.3242247.5515552,0
-122.323860347.5526245,-122.323862747.5524631,0
-122.323854747.5533628,-122.323860347.5526245,0
-122.325152547.5394272,-122.325152947.5386825,1
-122.325590247.5271263,-122.3255947.5268972,0
-122.325478747.5326786,-122.325481947.5323173,0
-122.325467547.5340955,-122.325472947.5334762,0
-122.325504147.5342565,-122.325467547.5340955,0
-122.325473747.5333785,-122.325473847.5333167,0
-122.325011947.5465547,-122.325015847.546351,1
-122.324977247.5222506,-122.324980247.5198148,0
-122.288434847.6026275,-122.288391947.6026926,0
-122.287152947.6027682,-122.28616747.6027652,3
-122.299968247.6034921,-122.299968847.6035605,0
-122.299975547.6026582,-122.299974947.6027221,1
-122.3000493979727747.60166602429652,-122.300002747.6017458,1
-122.300050747.6016638,-122.3000493979727747.60166602429652,0
-122.407402147.5700794,-122.407289947.5699129,0
-122.407345347.5717263,-122.407362447.5717647,2
-122.406180447.5803962,-122.406186347.580183,2
-122.406168147.5808422,-122.406180447.5803962,3
-122.406186347.580183,-122.406206747.5794442,2
-122.406675247.5794512,-122.40668947.5777863,0
-122.40668947.5777863,-122.406686547.5777617,0
-122.406832147.5728308,-122.40679147.5722747,0
-122.406850947.5750126,-122.40685447.5749484,0
-122.366496447.628741,-122.366486647.6295168,0
-122.366485247.6296274,-122.366480647.6304689,4
-122.366477247.6311009,-122.36647647.631318,0
-122.366480647.6304689,-122.366477247.6311009,3
-122.366137947.6276812,-122.365493947.628454,0
-122.36638147.6323467,-122.366397247.6335286,0
-122.366397247.6335286,-122.366363247.63475,0
-122.366829147.5337063,-122.3668295112440847.53369306222125,0
-122.3668295112440847.53369306222125,-122.36685647.5328404,0
-122.306213847.5952071,-122.306094747.5952072,0
-122.331924847.6108239,-122.332337847.6106408,2
-122.328576747.612243,-122.328005847.6124852,0
-122.37425147.5728515,-122.374241147.5724901,0
-122.374246647.5733378,-122.37425147.5728515,0
-122.373833447.5760813,-122.373818647.5759781,0
-122.373872347.5767164,-122.37387947.5765906,0
-122.3714630137914647.57684458414575,-122.371438347.5768487,0
-122.372660347.577257,-122.372658547.5771488,0
-122.28115247.6176255,-122.281127747.6175987,0
-122.367569747.6468398,-122.368114947.6468393,3
-122.368114947.6468393,-122.368262647.6468399,4
-122.363470947.6468634,-122.364046347.6468646,2
-122.377480747.6474709,-122.377612947.647471,0
-122.38203147.6465846,-122.382687347.6465872,2
-122.383337147.6465897,-122.384007147.6465923,3
-122.384652447.6465948,-122.38531547.6465974,1
-122.390308647.6468417,-122.390905147.6468358,0
-122.39155247.6468377,-122.392259147.646841,1
-122.392923147.6468418,-122.393589847.6468439,0
-122.387567947.6465819,-122.387314247.6465981,0
-122.410777847.646795,-122.411396447.6467938,0
-122.409585647.6467974,-122.410777847.646795,0
-122.408981347.6467985,-122.409585647.6467974,0
-122.362193347.6466573,-122.362864347.64666,5
-122.360908747.6466522,-122.361510447.6466546,3
-122.406932447.6472626,-122.40891447.6472626,0
-122.405732947.6468544,-122.405678747.6468534,0
-122.372586347.6466821,-122.373084947.6466804,0
-122.413162647.6467949,-122.414268547.6467962,1
-122.282180447.6372862,-122.28211847.637387,0
-122.282066247.6401885,-122.282026447.6407346,0
-122.281975847.6380635,-122.281939347.6398836,0
-122.282032247.6345979,-122.281996547.6369717,0
-122.29344147.5330909,-122.290792747.5330753,0
-122.290792747.5330753,-122.289174547.5330658,0
-122.288847547.5330639,-122.285970647.533047,0
-122.289174547.5330658,-122.288950247.5330623,0
-122.29420247.533095,-122.29344147.5330909,0
-122.328136347.5334104,-122.327470347.5334024,0
-122.331134147.533434,-122.330021247.5334252,0
-122.325473747.5333785,-122.322807547.5333501,0
-122.36521747.5332171,-122.3658145344069747.53321153017805,0
-122.3658145344069747.53321153017805,-122.365828547.5332114,0
-122.372755947.6906217,-122.3727559825298747.69062796071546,0
-122.372754147.6887311,-122.372755947.6906217,0
-122.372754447.6850728,-122.372754947.6854895,1
-122.372747147.6832479,-122.372754447.6850728,1
-122.372744247.6868854,-122.372754147.6887311,1
-122.3727559825298747.69062796071546,-122.372760947.691001,2
-122.372995947.6778079,-122.372983547.6795438,3
-122.37255647.6795606,-122.372549147.6814386,6
-122.305517647.64292,-122.30539147.6430276,0
-122.306885447.6417575,-122.30604147.6424751,3
-122.307226147.6414227,-122.307197247.6414731,2
-122.30604147.6424751,-122.305596347.6428531,0
-122.332988347.6686827,-122.332906547.6686856,5
-122.355381847.6698007,-122.354406347.6697985,0
-122.317951847.642544,-122.317959147.6425487,0
-122.317199647.6420945,-122.317208647.6420991,0
-122.313647747.6396695,-122.313722947.639722,1
-122.34009147.6657304,-122.339437347.6657274,0
-122.331077247.6657597,-122.328298147.665727,1
-122.338507147.6657562,-122.336393747.6657485,0
-122.333702547.6657628,-122.331077247.6657597,0
-122.336393747.6657485,-122.333702547.6657628,0
-122.357131347.6657751,-122.356418147.6657737,0
-122.355414947.6657716,-122.355229647.6657245,1
-122.356418147.6657737,-122.355414947.6657716,0
-122.320892247.6833402,-122.320963847.6833869,0
-122.321580247.6839376,-122.322405847.6846014,0
-122.321511447.6838762,-122.321578547.6839362,0
-122.322405847.6846014,-122.322911147.6850212,0
-122.324463347.6358724,-122.324402447.6358715,2
-122.325574447.6358834,-122.325466847.6358823,7
-122.320075347.6359355,-122.319039947.6359265,0
-122.320595847.6359337,-122.320075347.6359355,0
-122.27786547.6358754,-122.27786547.6358234,1
-122.277847647.6357838,-122.277787747.6357482,1
-122.285074147.6358109,-122.284734447.635811,1
-122.284734447.635811,-122.284033847.6358112,1
-122.284033847.6358112,-122.283373947.6358114,0
-122.306596547.6395485,-122.306597347.6394921,0
-122.302896247.6365802,-122.302948447.6359026,0
-122.30443747.63792,-122.303414247.6373731,0
-122.287895247.5783042,-122.287839947.5782805,1
-122.287759347.5782291,-122.287683447.5781515,4
-122.28793447.578317,-122.287895247.5783042,2
-122.28589947.5763184,-122.285738947.5762424,0
-122.28559547.5761657,-122.285339747.5760037,0
-122.286676747.5767356,-122.286449947.5765759,0
-122.286449947.5765759,-122.286242947.5764659,0
-122.282474147.5171053,-122.282490647.516532,0
-122.282616247.5424656,-122.282613147.5422244,0
-122.355554147.6446839,-122.354519647.6446948,1
-122.352561947.644689,-122.352427547.6446765,1
-122.354519647.6446948,-122.35363947.6446904,0
-122.35363947.6446904,-122.352561947.644689,0
-122.356885847.6441209,-122.356214847.6441141,1
-122.4078871641220447.654080913083064,-122.407887347.6540895,0
-122.407898247.6504707,-122.407858747.6522821,0
-122.407858747.6522821,-122.4078871641220447.654080913083064,0
-122.407905247.6486307,-122.407903247.6494923,0
-122.407903247.6494923,-122.407903947.6498671,0
-122.408981347.6467985,-122.408922947.6469091,0
-122.408391547.6449985,-122.408363647.6458666,0
-122.408431247.6432302,-122.408391547.6449985,0
-122.32710547.6382557,-122.32710547.6383164,0
-122.327114947.6419932,-122.327114247.6431174,3
-122.327103847.6397207,-122.327104247.6397986,3
-122.327122147.6368228,-122.327121747.6368573,2
-122.327061347.6364568,-122.327100447.6365085,1
-122.333177347.6030293,-122.333054547.603079,1
-122.326528847.626982,-122.326600447.6270016,7
-122.360219847.5594878,-122.360211847.5597421,0
-122.360375947.5349671,-122.360410347.5349034,5
-122.360255847.5354713,-122.360302747.5354611,3
-122.299191747.6909946,-122.298707747.6909951,0
-122.300199947.6906992,-122.300089647.6907135,0
-122.279971847.6904778,-122.2799598362061347.6904777749493,0
-122.2799598362061347.6904777749493,-122.279398747.6904766,0
-122.296060547.6909441,-122.293435947.6909318,0
-122.276765247.6913183,-122.274710147.6913109,2
-122.272228847.6913375,-122.272079347.6916733,3
-122.274710147.6913109,-122.272330547.6913131,2
-122.323016147.6913374,-122.321575747.6913146,5
-122.313249747.6912644,-122.313210947.6912638,5
-122.310083647.6912287,-122.309530947.6912318,3
-122.312211447.6912477,-122.311145947.691239,2
-122.311145947.691239,-122.310083647.6912287,1
-122.304193647.691204,-122.302049847.6911912,0
-122.31941547.6052098,-122.319419747.6062119,2
-122.319406447.6043701,-122.31941547.6052098,1
